rank,nome,nota
1708,Favor of the Pharaoh,6.80
1709,Ascension: Rise of Vigil,7.16
1710,Wits & Wagers Party,6.91
1711,Juicy Fruits,7.10
1712,City of Iron,7.17
1713,The Adventurers: The Temple of Chac,6.60
1714,Rummikub,6.44
1715,GROVE: A 9 card solitaire game,7.80
1716,Leonardo da Vinci,6.73
1717,Treasure Hunter,6.77
1718,The Red Dragon Inn,6.57
1719,Ubongo 3D,7.08
1720,Dale of Merchants Collection,7.84
1721,Helvetia,6.98
1722,Scarface 1920,8.17
1723,Sobek: 2 Players,7.20
1724,The Great Heartland Hauling Co.,6.85
1725,Empires in Arms,7.61
1726,The King Is Dead,7.12
1727,Cóatl,6.99
1728,New Bedford,7.06
1729,König von Siam,6.90
1730,Babel,6.65
1731,Azul: Master Chocolatier,7.95
1732,Egizia: Shifting Sands,7.52
1733,Wooden Ships & Iron Men,7.06
1734,Space Cadets: Dice Duel,6.75
1735,Transatlantic,7.04
1736,1860: Railways on the Isle of Wight,7.91
1737,Niagara,6.46
1738,The Expanse Board Game,7.18
1739,Clans,6.56
1740,Fleet: The Dice Game (Second Edition),7.87
1741,"Colonial Twilight: The French-Algerian War, 1954-62",7.72
1742,Smash Up: The Obligatory Cthulhu Set,6.73
1743,Petrichor,6.94
1744,Star Trek: Attack Wing,7.50
1745,Voyages,7.48
1746,La Boca,6.97
1747,Evo (Second Edition),6.93
1748,Duplik,6.97
1749,Noctiluca,7.12
1750,The Bridges of Shangri-La,6.84
1751,Strat-O-Matic Baseball,7.83
1752,Timeline: Music & Cinema,6.72
1753,Machi Koro Legacy,6.93
1754,The Russian Campaign,7.33
1755,Trambahn,6.95
1756,Catan: Starfarers,7.62
1757,Fjords,6.74
1758,Felicity: The Cat in the Sack,6.57
1759,Carrom,7.08
1760,Altar Quest,7.72
1761,Reykholt,6.71
1762,Monumental,7.61
1763,Exit: The Game – The Haunted Roller Coaster,7.16
1764,Love Letter: The Hobbit – The Battle of the Five Armies,7.11
1765,Nefertiti,6.99
1766,Glow,7.04
1767,Xiangqi,7.12
1768,Smash Up: Cease and Desist,7.42
1769,Exodus: Proxima Centauri,7.16
1770,Salem 1692,7.09
1771,Factory Funner,7.21
1772,Time's Up! Edición Azul,7.36
1773,L.L.A.M.A.,6.48
1774,Big City,6.86
1775,Steam Time,7.09
1776,Sanssouci,7.13
1777,Odin's Ravens,6.66
1778,Antike Duellum,7.07
1779,Talisman: Revised 4th Edition,6.51
1780,Spirits of the Forest,6.83
1781,Québec,7.14
1782,Terramara,7.32
1783,Marvel: Remix,7.47
1784,My First Carcassonne,6.67
1785,Unlock!: Mystery Adventures – The Tonipal's Treasure,6.98
1786,Vast: The Mysterious Manor,7.49
1787,Forge War,7.18
1788,Krosmaster: Arena,6.72
1789,Tsuro of the Seas,6.52
1790,A Castle for All Seasons,6.73
1791,Historia,6.87
1792,Nautilion,7.21
1793,Project: ELITE,7.58
1794,Oltréé,7.55
1795,Burg Appenzell,6.85
1796,DC Comics Dice Masters: Justice League,7.30
1797,Get on Board: New York & London,6.99
1798,A Game of Thrones: Hand of the King,6.63
1799,That Time You Killed Me,7.68
1800,Diamonds Club,7.05
1801,Expedition: Northwest Passage,6.97
1802,Starship Captains,7.26
1803,Terracotta Army,7.59
1804,Steampunk Rally Fusion,7.46
1805,Steel Driver,6.97
1806,Cold War: CIA vs KGB,6.62
1807,A Victory Lost: Crisis in Ukraine 1942-1943,7.65
1808,Beast,7.75
1809,Iberian Gauge,7.34
1810,Tiny Epic Western,6.64
1811,John Company,7.40
1812,Ra: The Dice Game,6.78
1813,LYNGK,7.59
1814,Guards of Atlantis II,8.56
1815,5-Minute Marvel,6.80
1816,Nyet!,6.77
1817,Field Commander: Napoleon,7.71
1818,Breakout: Normandy,7.69
1819,Cytosis: A Cell Biology Board Game,7.02
1820,Legend of the Five Rings,7.16
1821,"Napoléon: The Waterloo Campaign, 1815",7.35
1822,Dungeons & Dragons Dice Masters: Battle for Faerûn,7.21
1823,Royal Palace,6.87
1824,Sagani,7.16
1825,Holmes: Sherlock & Mycroft,6.79
1826,Cosmic Frog,7.40
1827,SPQR (Deluxe Edition),8.03
1828,Labyrinth,6.40
1829,Holland '44: Operation Market-Garden,8.30
1830,Fertility,7.16
1831,A Song of Ice & Fire: Tabletop Miniatures Game – Stark vs Lannister Starter Set,8.12
1832,The Rise of Queensdale,7.45
1833,Edo,7.05
1834,Corinth,6.74
1835,Stellar,7.40
1836,The Isle of Cats: Explore & Draw,7.51
1837,The Red Dragon Inn 3,7.21
1838,Wildlife Safari,6.69
1839,Sol: Last Days of a Star,7.51
1840,Dominations: Road to Civilization,7.47
1841,Founding Fathers,6.96
1842,burncycle,8.05
1843,Sentinels of the Multiverse: Definitive Edition,8.44
1844,Eurorails,7.10
1845,Infinity N3: Core Book,8.06
1846,Memoarrr!,6.89
1847,Mare Nostrum,6.73
1848,Uprising: Curse of the Last Emperor,8.37
1849,Warhammer: Diskwars,7.07
1850,Seeland,6.91
1851,Warfighter: The WWII Tactical Combat Card Game,7.87
1852,Pax Pamir,7.43
1853,Carcassonne: Gold Rush,7.16
1854,Dog Park,7.25
1855,Ground Floor,7.00
1856,Marvel: Crisis Protocol,8.33
1857,Mamma Mia!,6.47
1858,HEXplore It: The Valley of the Dead King,7.76
1859,Wits & Wagers Family,6.91
1860,Tournament at Camelot,7.15
1861,Trans Europa,6.65
1862,Hoity Toity,6.51
1863,Pandemic: Hot Zone – North America,7.04
1864,Abalone,6.47
1865,Pax Transhumanity,7.53
1866,Ganymede,7.18
1867,Citrus,7.10
1868,B-17: Queen of the Skies,7.11
1869,Core Space,8.68
1870,Monolith Arena,7.42
1871,Arena: Roma II,6.88
1872,Europe Engulfed: WWII European Theatre Block Game,7.46
1873,Coal Baron: The Great Card Game,7.09
1874,Heroscape Marvel: The Conflict Begins,7.02
1875,Euchre,6.82
1876,La Granja: No Siesta,6.79
1877,Frank's Zoo,6.61
1878,The Boss,6.79
1879,Bootleggers,6.68
1880,Theseus: The Dark Orbit,7.02
1881,Wasabi!,6.53
1882,Pyramid of Pengqueen,6.89
1883,Age of War,6.45
1884,Neta-Tanka: Deluxe Edition,7.19
1885,Warhammer Underworlds: Nightvault,7.76
1886,Paris Connection,6.66
1887,"Air, Land, and Sea: Critters at War",7.54
1888,Last Aurora,7.34
1889,Space Station Phoenix,7.40
1890,Chakra,6.90
1891,Dragomino,7.09
1892,Dr. Eureka,6.58
1893,Ascension: Realms Unraveled,7.52
1894,Thunderstone Advance: Numenera,7.27
1895,Qin,6.79
1896,Horseless Carriage,8.00
1897,Samurai Sword,6.66
1898,Meeple Land,7.27
1899,Exit: The Game – Advent Calendar: The Mystery of the Ice Cave,8.00
1900,Hands in the Sea,7.84
1901,Cthulhu Realms,6.69
1902,Race! Formula 90,7.96
1903,Tiny Epic Pirates,7.07
1904,Spring Meadow,7.06
1905,CoraQuest,8.08
1906,Relic,6.76
1907,Rise to Nobility,6.98
1908,Archaeology: The Card Game,6.66
1909,Unmatched: Jurassic Park – Dr. Sattler vs. T. Rex,8.07
1910,Snake Oil,6.68
1911,Summer Camp,7.19
1912,Ticket to Ride: First Journey (U.S.),6.90
1913,Show Manager,6.99
1914,Cutthroat Caverns,6.52
1915,Dutch Blitz,6.72
1916,Boss Monster 2: The Next Level,6.72
1917,Mysthea,7.63
1918,Serenissima,6.86
1919,Dealt!,7.07
1920,5-Minute Mystery,7.10
1921,Belratti,7.15
1922,Harbour,6.50
1923,The U.S. Civil War,8.30
1924,Beyond Baker Street,6.83
1925,Tenpenny Parks,7.57
1926,D-Day Dice (Second Edition),7.45
1927,Kolejka,6.66
1928,Seikatsu,7.00
1929,Riff Raff,6.92
1930,Cabo,7.09
1931,Um Reifenbreite,6.79
1932,Bios: Genesis,7.11
1933,Horus Heresy,7.04
1934,Tiny Epic Defenders (Second Edition),7.08
1935,Hamsterrolle,6.81
1936,The Hanging Gardens,6.78
1937,HeroQuest Advanced Quest,7.31
1938,Hornet Leader: Carrier Air Operations,7.89
1939,Ribbit,6.78
1940,Sorcerer,7.61
1941,2 de Mayo,6.89
1942,Marvel Dice Masters: Age of Ultron,7.20
1943,Castellion,6.90
1944,Gaslands: Post-Apocalyptic Vehicular Combat,8.09
1945,Conquest of the Empire,6.73
1946,Axis & Allies: 1942,6.92
1947,Dice Throne: Season Two – Cursed Pirate v. Artificer,7.89
1948,Skyjo,6.76
1949,You're Bluffing!,6.57
1950,Catan Histories: Settlers of America – Trails to Rails,6.79
1951,Guilds of London,6.81
1952,Compounded,6.71
1953,Risk: Europe,7.42
1954,Bananagrams,6.38
1955,Tinners' Trail,7.17
1956,Rommel in the Desert,7.54
1957,Empyreal: Spells & Steam,7.53
1958,Stop Thief!,6.99
1959,Pit,6.38
1960,The Wolves,7.55
1961,Palastgeflüster,6.78
1962,Bob Ross: Art of Chill Game,6.77
1963,Spades,6.78
1964,Pathfinder Adventure Card Game: Wrath of the Righteous – Base Set,7.45
1965,The Dresden Files Cooperative Card Game,7.01
1966,"Warriors of God: The Wars of England & France, 1135-1453",7.42
1967,Lotus,6.68
1968,Terra,6.80
1969,City of Horror,6.68
1970,Trek 12: Himalaya,6.87
1971,Star Trek Panic,6.97
1972,Mountain Goats,6.97
1973,Lifeboats,6.58
1974,Impulse,6.81
1975,Mafia de Cuba,6.53
1976,Perikles,6.89
1977,KeyForge: Worlds Collide,7.48
1978,Keltis,6.42
1979,ALIEN: Fate of the Nostromo,7.11
1980,Bites,7.14
1981,Teenage Mutant Ninja Turtles: Shadows of the Past,7.40
1982,Duel of Ages II,7.36
1983,Savannah Park,7.11
1984,City of Spies: Estoril 1942,7.02
1985,"Dungeons, Dice & Danger",7.09
1986,Chronicles of Drunagor: Age of Darkness,8.47
1987,Wings of War: Watch Your Back!,6.99
1988,Covert,7.07
1989,Legends of Andor: The Last Hope,7.87
1990,Timebomb,7.14
1991,Lignum (Second Edition),7.68
1992,Time's Up! Deluxe,7.47
1993,Nevsky: Teutons and Rus in Collision 1240-1242,8.13
1994,Fighting Formations: Grossdeutschland Motorized Infantry Division,7.61
1995,Quests of Valeria,6.92
1996,March of the Ants,7.17
1997,Ardennes '44: The Battle of the Bulge,8.01
1998,Razzia!,6.85
1999,Hidden Leaders,6.90
2000,Taco Cat Goat Cheese Pizza,6.67
