rank,nome,nota
400,London (Second Edition),7.52
401,San Juan (Second Edition),7.47
402,Civilization,7.50
403,Arkham Horror,7.24
404,So Clover!,7.59
405,Dice Forge,7.24
406,Smartphone Inc.,7.59
407,Tiletum,8.02
408,Flamecraft,7.52
409,Codenames: Pictures,7.20
410,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,7.62
411,Nippon,7.65
412,Sword & Sorcery,7.92
413,Clash of Cultures,7.58
414,Sprawlopolis,7.37
415,Stockpile,7.48
416,Santa Maria,7.49
417,Space Hulk (Third Edition),7.53
418,Skull,7.20
419,Firefly: The Game,7.39
420,Mythic Battles: Pantheon,8.36
421,Dune,7.60
422,Spartacus: A Game of Blood and Treachery,7.47
423,Macao,7.41
424,Project L,7.49
425,Fresco,7.26
426,Claustrophobia,7.48
427,Advanced Squad Leader,8.00
428,Unmatched: Robin Hood vs. Bigfoot,7.96
429,Biblios,7.20
430,Mice and Mystics,7.25
431,The Manhattan Project,7.33
432,Cubitos,7.47
433,Wavelength,7.31
434,Thunderstone Quest,7.79
435,Summoner Wars (Second Edition),8.19
436,Blitzkrieg!: World War Two in 20 Minutes,7.62
437,Flash Point: Fire Rescue,7.17
438,Millennium Blades,7.68
439,Revive,8.19
440,Great Western Trail: Argentina,8.58
441,King of Tokyo: Dark Edition,7.70
442,Kingsburg,7.18
443,Darwin's Journey,8.23
444,Chess,7.19
445,Imperial Settlers: Empires of the North,7.47
446,Glen More,7.31
447,Lancaster,7.40
448,Pipeline,7.64
449,Heroscape Master Set: Rise of the Valkyrie,7.44
450,A Few Acres of Snow,7.37
451,Lord of the Rings: The Confrontation,7.48
452,Quadropolis,7.24
453,Pandemic: Reign of Cthulhu,7.37
454,Point Salad,7.18
455,PitchCar,7.26
456,Mandala,7.56
457,ISS Vanguard,8.81
458,Black Orchestra,7.51
459,Mystic Vale,7.27
460,Middara: Unintentional Malum – Act 1,8.65
461,Amerigo,7.45
462,Canvas,7.34
463,Boonlake,7.70
464,Commands & Colors: Napoleonics,8.01
465,BattleLore,7.35
466,Stuffed Fables,7.48
467,Charterstone,7.24
468,Honey Buzz,7.64
469,Pandemic: The Cure,7.26
470,Amun-Re,7.29
471,Blood Bowl: Living Rulebook,7.84
472,Risk Legacy,7.38
473,Exit: The Game – Dead Man on the Orient Express,7.59
474,Colt Express,7.09
475,Sheriff of Nottingham,7.08
476,Hadara,7.43
477,Marvel United: X-Men,8.16
478,Citadels,7.26
479,Shadows of Brimstone: City of the Ancients,7.96
480,Blood Bowl (Third Edition),7.55
481,Citadels,7.07
482,Fire in the Lake,8.05
483,Forbidden Desert,7.09
484,Deus,7.29
485,Oceans,7.50
486,Mansions of Madness,7.27
487,Lords of Vegas,7.35
488,Descent: Journeys in the Dark,7.28
489,Hanabi,7.05
490,Shadows over Camelot,7.10
491,No Thanks!,7.07
492,1775: Rebellion,7.65
493,Betrayal Legacy,7.69
494,"Labyrinth: The War on Terror, 2001 – ?",7.59
495,Zombie Kidz Evolution,7.66
496,Friday,7.12
497,Junk Art,7.37
498,Fantastic Factories,7.48
499,Raptor,7.26
500,1846: The Race for the Midwest,7.94
501,Dawn of the Zeds (Third Edition),8.16
502,CATAN,7.11
503,Potion Explosion,7.13
504,Imhotep,7.15
505,"Air, Land, & Sea",7.46
506,Cartographers Heroes,7.83
507,Pan Am,7.55
508,Blackout: Hong Kong,7.45
509,Railroad Ink: Deep Blue Edition,7.20
510,Bohnanza,7.04
511,Freedom: The Underground Railroad,7.58
512,Thurn and Taxis,7.09
513,Argent: The Consortium,7.64
514,Imperial Struggle,8.29
515,Small World Underground,7.24
516,Descent: Legends of the Dark,7.96
517,First Class: All Aboard the Orient Express!,7.43
518,Port Royal,7.12
519,Escape Plan,7.53
520,London,7.33
521,Black Rose Wars,7.98
522,Archipelago,7.30
523,Madeira,7.56
524,Ingenious,7.10
525,The Grizzled,7.14
526,TZAAR,7.66
527,Star Wars: X-Wing (Second Edition),8.08
528,The Fox in the Forest,7.13
529,Libertalia,7.13
530,Time's Up! Title Recall!,7.69
531,Dead Reckoning,8.24
532,IKI,7.69
533,Legends of Andor,7.13
534,Alhambra,7.03
535,Airlines Europe,7.30
536,Foundations of Rome,8.04
537,High Society,7.14
538,Undaunted: North Africa,7.87
539,Roads & Boats,7.71
540,One Night Ultimate Werewolf,7.08
541,RoboRally,7.06
542,Discworld: Ankh-Morpork,7.25
543,Elysium,7.20
544,Euphoria: Build a Better Dystopia,7.19
545,Wabash Cannonball,7.25
546,Sushi Go!,7.01
547,Fleet: The Dice Game,7.68
548,BattleCON: Devastation of Indines,7.84
549,Mindbug: First Contact,7.83
550,The Great Wall,7.92
551,Sentinels of the Multiverse,7.16
552,Vikings,7.24
553,Last Will,7.17
554,Nova Luna,7.31
555,Love Letter: Premium Edition,7.44
556,Camel Up,7.04
557,Egizia,7.40
558,Runebound (Third Edition),7.46
559,Space Empires 4X,7.70
560,Queendomino,7.19
561,In the Hall of the Mountain King,7.65
562,Karuba,7.18
563,Vinhos,7.47
564,Valeria: Card Kingdoms,7.45
565,Taj Mahal,7.27
566,StarCraft: The Board Game,7.35
567,Tales of the Arabian Nights,7.17
568,Pax Porfiriana,7.67
569,Jamaica,7.06
570,Colosseum,7.21
571,Baseball Highlights: 2045,7.52
572,Las Vegas,7.15
573,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,7.18
574,Through the Desert,7.09
575,Aquatica,7.39
576,DVONN,7.46
577,Nexus Ops,7.21
578,Atlantis Rising (Second Edition),7.59
579,Cat in the Box: Deluxe Edition,7.67
580,The Colonists,7.56
581,Paperback,7.14
582,Wayfarers of the South Tigris,7.90
583,AquaSphere,7.26
584,Carcassonne: Hunters and Gatherers,7.13
585,Broom Service,7.17
586,MicroMacro: Crime City – Full House,7.73
587,Imperium: Legends,7.87
588,Etherfields,8.01
589,Draftosaurus,7.12
590,Tobago,7.10
591,Turing Machine,7.94
592,Dice Throne: Season One,7.53
593,Star Wars: The Deckbuilding Game,8.01
594,Automobile,7.33
595,Triumph & Tragedy: European Balance of Power 1936-1945,8.15
596,Evolution,7.07
597,Libertalia: Winds of Galecrest,7.51
598,Star Trek: Ascendancy,7.82
599,Struggle of Empires,7.52
600,Carson City,7.22
601,Cooper Island,7.60
602,Star Wars: Destiny,7.46
603,QE,7.40
604,Silver & Gold,7.23
605,Francis Drake,7.38
606,Conan,7.65
607,Hammer of the Scots,7.53
608,Coup,6.99
609,Crusaders: Thy Will Be Done,7.50
610,A Game of Thrones,7.18
611,The LOOP,7.79
612,Unfathomable,7.59
613,The Battle of Five Armies,7.88
614,Gears of War: The Board Game,7.47
615,Blood Bowl (2016 Edition),7.98
616,Unlock!: Heroic Adventures,7.65
617,John Company: Second Edition,8.38
618,Photosynthesis,7.01
619,Zombicide: 2nd Edition,8.03
620,Caper: Europe,7.79
621,Quantum,7.25
622,Zombicide,7.11
623,Thebes,7.13
624,A Game of Thrones: The Card Game (Second Edition),7.51
625,Cuba Libre,7.69
626,Aeon Trespass: Odyssey,9.22
627,Unmatched: Little Red Riding Hood vs. Beowulf,8.21
628,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,7.75
629,Coloretto,6.98
630,6 nimmt!,6.95
631,Woodcraft,7.77
632,Zombicide: Green Horde,7.71
633,Whitehall Mystery,7.57
634,Mare Nostrum: Empires,7.53
635,Betrayal at House on the Hill,7.03
636,HeroQuest,7.18
637,Medici,7.16
638,The Guild of Merchant Explorers,7.77
639,Formula D,7.00
640,Snowdonia,7.34
641,Time's Up!,7.29
642,Taluva,7.15
643,Shards of Infinity,7.50
644,Pax Renaissance,8.01
645,Akropolis,7.54
646,One Night Ultimate Werewolf: Daybreak,7.32
647,Splendor: Marvel,7.61
648,KeyForge: Call of the Archons,7.14
649,Magic Maze,6.97
650,Trains,7.13
651,The Republic of Rome,7.53
652,The Downfall of Pompeii,7.15
653,Pax Renaissance: 2nd Edition,8.59
654,Cacao,7.09
655,Fort,7.15
656,Shakespeare,7.42
657,Kingdom Builder,6.95
658,Lord of the Rings: The Confrontation,7.20
659,Bus,7.59
660,Between Two Castles of Mad King Ludwig,7.25
661,Mr. Jack,6.98
662,Dinosaur Island: Rawr 'n Write,7.77
663,Belfort,7.22
664,Summoner Wars,7.23
665,Elder Sign,6.97
666,Disney Villainous: Wicked to the Core,7.56
667,Earth Reborn,7.62
668,Cuba,7.13
669,A Fake Artist Goes to New York,7.15
670,Chronicles of Crime: 1400,7.78
671,Galaxy Trucker (Second Edition),7.54
672,Torres,7.09
673,Luna,7.30
674,Telestrations: 12 Player Party Pack,7.74
675,Escape: The Curse of the Temple,6.97
676,Dixit: Journey,7.39
677,Civilization: A New Dawn,7.27
678,Regicide,7.48
679,Cribbage,7.09
680,Shadows of Brimstone: Swamps of Death,8.04
681,Exit: The Game – The Pharaoh's Tomb,7.18
682,Smash Up: Awesome Level 9000,7.22
683,Feudum,7.61
684,The Oracle of Delphi,7.29
685,Myrmes,7.26
686,Merv: The Heart of the Silk Road,7.55
687,Yamataï,7.20
688,Churchill,7.67
689,Mexica,7.24
690,Creature Comforts,7.54
691,Treasure Island,7.25
692,Frostpunk: The Board Game,8.34
693,Arkwright,7.81
694,Prêt-à-Porter,7.34
695,AuZtralia,7.37
696,Disney Villainous: Evil Comes Prepared,7.57
697,Yellow & Yangtze,7.84
698,Tokaido,6.94
699,Defenders of the Realm,7.28
700,Trails of Tucana,7.41
701,Ascension: Deckbuilding Game,7.03
702,Fury of Dracula (Second Edition),7.10
703,D-Day at Omaha Beach,8.28
704,ZhanGuo,7.57
705,The Magnificent,7.54
706,Leaving Earth,7.74
707,Project: ELITE,8.02
708,Tash-Kalar: Arena of Legends,7.16
709,Wir sind das Volk!,7.80
710,Love Letter: Batman,7.27
711,Century: A New World,7.35
712,Detective: City of Angels,7.90
713,Warp's Edge,7.77
714,Specter Ops,7.19
715,Golem,7.63
716,Hegemony: Lead Your Class to Victory,8.56
717,Carcassonne: The Castle,7.10
718,Whistle Mountain,7.64
719,Onirim (Second Edition),7.05
720,Thunderstone Advance: Towers of Ruin,7.34
721,My Little Scythe,7.27
722,City of the Big Shoulders,7.79
723,Steampunk Rally,7.17
724,Ashes Reborn: Rise of the Phoenixborn,7.29
725,Trismegistus: The Ultimate Formula,7.60
726,Dragon Castle,7.13
727,Space Hulk: Death Angel – The Card Game,7.00
728,Oh My Goods!,7.00
729,BANG! The Dice Game,6.91
730,Warhammer Quest: The Adventure Card Game,7.32
731,Vegas Showdown,7.16
732,The Networks,7.16
733,Azul: Queen's Garden,7.53
734,Bloodborne: The Board Game,7.84
735,K2,7.02
736,The Estates,7.43
737,Sub Terra,7.39
738,Century: Eastern Wonders,7.14
739,Advanced Squad Leader: Starter Kit #1,7.85
740,The Lord of the Rings: The Card Game – Revised Core Set,8.53
741,Wallenstein,7.46
742,Yspahan,7.07
743,Villagers,7.18
744,Diplomacy,7.04
745,My Father's Work,7.95
746,Shipyard,7.36
747,Coal Baron,7.29
748,Wits & Wagers,6.93
749,Middle-Earth Quest,7.39
750,Between Two Cities,6.99
751,Crystal Palace,7.54
752,Unlock!: Timeless Adventures,7.80
753,CO₂: Second Chance,7.56
754,Disney Villainous,6.99
755,New York Zoo,7.14
756,Eminent Domain,6.99
757,The Bloody Inn,7.05
758,Ticket to Ride: Rails & Sails,7.42
759,New Frontiers,7.44
760,Empires: Age of Discovery,7.85
761,The Shipwreck Arcana,7.47
762,Reef,7.03
763,Blue Moon City,7.04
764,Ex Libris,7.15
765,Empire of the Sun,8.26
766,Caverna: Cave vs Cave,7.12
767,Warhammer: Invasion,7.23
768,Rhino Hero: Super Battle,7.25
769,Kanagawa,7.04
770,Cry Havoc,7.14
771,Saint Petersburg (Second Edition),7.47
772,Unmatched: Jurassic Park – InGen vs Raptors,8.14
773,The Adventures of Robin Hood,7.57
774,World Without End,7.24
775,Can't Stop,6.89
776,Space Hulk,7.48
777,Deep Sea Adventure,6.92
778,Super Motherload,7.35
779,Arcadia Quest: Inferno,7.90
780,Up Front,7.88
781,Blokus,6.86
782,Dogs of War,7.52
783,Crown of Emara,7.42
784,Weather Machine,7.89
785,Living Forest,7.30
786,Menara,7.45
787,Finca,7.07
788,Vast: The Crystal Caverns,7.13
789,The Duke,7.34
790,Black Angel,7.28
791,878 Vikings: Invasions of England,7.51
792,Zombicide Season 2: Prison Outbreak,7.36
793,Railroad Ink Challenge: Lush Green Edition,7.68
794,Railroad Ink: Blazing Red Edition,7.11
795,Exit: The Game – The Secret Lab,7.07
796,Perudo,6.91
797,Bullet♥︎,7.69
